"asc_bus","asc_air","asc_rail","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_access","b_cost","b_wifi","b_food","logLike"
0,0,0,0,0,0,0,0,0,0,0,-8196.02053242298
-0.334554327850893,0.00306867294967152,0.0948493279551312,0.00018666628595028,-0.000917936180400724,8.44077510646947e-05,0.000660143697947047,-0.000756976823501205,-0.000357774794029131,0.0992793960718553,0.044919191575087,-7147.45250846865
-0.958265155581579,0.0372750157009637,0.197436365924887,0.000210588867385242,-0.00280980186886132,0.000577702259477743,0.00138922215319737,-0.00189400544690043,-0.00966365665399526,0.310546324146316,0.0901231221094614,-6357.3809130682
-1.51560134299554,0.468605790741201,0.0348054783797663,-0.00287178505617323,-0.00491228835578171,-0.00284886364873924,-0.00110626254247397,-0.00863998380521598,-0.0370477284450784,0.683121279149084,0.263101307445503,-5807.06219565257
-0.867446654846593,0.642692209954544,-0.879481239129778,-0.0100393418146153,-0.013771494346858,-0.0182582876165918,-0.00697876051065867,-0.0237230558856339,-0.0590048217382136,0.960111485309809,0.392985570018914,-5608.34324393227
-0.0781996397495835,0.223711043040585,-1.44226125060455,-0.0114752797917168,-0.0168913796539626,-0.0189634770795224,-0.00641524996623609,-0.0227024790504367,-0.0586638669578602,0.933636938991595,0.406154877060162,-5599.0228813052
0.0619220553947315,0.236369851624665,-1.4795556867122,-0.0116074270442063,-0.0173711316991702,-0.0194703920133615,-0.00638371993158148,-0.023192087007726,-0.0587702674299217,0.937592222767236,0.409222650779295,-5598.90087106524
0.062488000066574,0.238163176561972,-1.48162758419219,-0.0116024459162995,-0.0173688665587354,-0.0194827477485975,-0.00636369362732054,-0.0231921455435236,-0.0587567973302952,0.9375639640898,0.409592336288328,-5598.90060582657
0.0624072837632367,0.23828548393293,-1.48136352005558,-0.0116021681142898,-0.0173684359888561,-0.0194833678001052,-0.00636492213052344,-0.0231927137593704,-0.0587559533453225,0.93755174616777,0.409557657160748,-5598.90060466936
0.0624104636017792,0.238276269684844,-1.48136943795385,-0.0116021838160288,-0.0173684597678886,-0.0194833641151649,-0.00636493081934755,-0.0231926750657082,-0.0587559399899232,0.937555475079961,0.40955974714827,-5598.90060466594
0.0624104636017792,0.238276269684844,-1.48136943795385,-0.0116021838160288,-0.0173684597678886,-0.0194833641151649,-0.00636493081934755,-0.0231926750657082,-0.0587559399899232,0.937555475079961,0.40955974714827,-5598.90060466594
0.062410691258843,0.238276575999145,-1.48136970467279,-0.0116021848881462,-0.0173684614799658,-0.0194833693983833,-0.00636493061613792,-0.0231926759191523,-0.0587559393883261,0.937555443774939,0.409559715728987,-5598.90060466589
